trace_name,number_of_requests,wsr,slab_size,slab_cnt,mhMinDiff,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,mhMovingAverageParam,mhMinDiff,thresholdAIADStep,emrLow,emrHigh,base_dir,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1063498.811299278,215,0.0723910243410627,215,50000,0,meta_202210_kv-3fd8fde5cc8a7eaf0ea50c99a949c312,0.3,2,1,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,1,marginal-hits-tuned,LRU2Q,cold,1098571.1291273986,187,0.07187699181264029,187,50000,0,meta_202210_kv-cc130a20d4ff6c4ca0dddeb46ed6096d,0.3,1,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,8,marginal-hits-tuned,LRU2Q,cold,814666.3394432354,164,0.07188182493609825,164,50000,0,meta_202210_kv-5a2685acb0164d970fc550b3f368fcf7,0.3,8,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,4,marginal-hits-tuned,LRU2Q,cold,1127025.6801974145,176,0.0717719629470752,176,50000,0,meta_202210_kv-3575585cc8df082cdab40cc9945837aa,0.3,4,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1055568.4434700077,167,0.07205096199710236,167,50000,0,meta_202210_kv-84bd565f455d64fd9af24c990da6aec4,0.3,2,4,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1048900.4137191556,285,0.07208836760702754,285,50000,0,meta_202210_kv-9080d8116c626fb6f14eb40e7fead0b8,0.3,2,2,0.3,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1097206.01320476,182,0.07190142927204501,182,50000,0,meta_202210_kv-2868da82d564f7ec02abad088d8583b3,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1169642.5124178494,241,0.07198012183067794,241,50000,0,meta_202210_kv-55f8b5e6ab27577eb098e572c66668e6,0.3,2,2,0.4,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1167792.8971360384,198,0.07240065955885383,198,200000,0,meta_202210_kv-af157c5a033e7175900e1ee1f1a572de,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1181808.4383464511,209,0.07222017865455699,209,50000,0,meta_202210_kv-fe7fa4d935dacfd6008e46e7245d444a,0.5,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
